year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
1997,Warrick Dunn,Florida State,RB,68.00,176,,,,,,
1997,Marc Edwards,Notre Dame,FB,72.00,236,4.72,25,34.0,106,4.07,
1997,Myron Elzy,Central State (OH),DT,76.00,312,5.18,24,27.5,103,4.61,
1997,Charles Emanuel,West Virginia,SS,71.30,203,4.78,17,33.0,110,4.23,
1997,Donnie Embra,Baylor,DT,74.90,286,5.01,20,30.5,110,4.45,
1997,Bill Ennis-Inge,Iowa,DE,76.00,260,5.00,26,32.0,,,
1997,Terrell Farley,Nebraska,SS,71.60,198,,6,,,,
1997,Robert Farmer,Notre Dame,RB,70.60,213,,,,,,
1997,James Farrior,Virginia,OLB,73.80,234,,22,35.5,120,4.40,
1997,Danyell Ferguson,Miami (FL),RB,71.10,202,,,,,,
1997,Jason Ferguson,Georgia,DT,75.10,317,5.39,,27.5,,,
1997,John Fiala,Washington,ILB,74.00,232,4.90,21,31.0,109,4.22,
1997,Matt Finkes,Ohio State,DE,74.90,272,4.94,15,28.5,99,4.29,
1997,Pat Fitzgerald,Northwestern,ILB,74.00,235,,19,,,,
1997,Pat Fitzgerald,Texas,TE,74.10,237,5.00,19,29.5,107,4.25,
1997,Todd Fordham,Florida State,OT,77.60,307,,25,,,,
1997,Lance Funderburk,Valdosta State (GA),QB,76.40,227,5.23,,27.0,97,,
1997,Rafael Garcia,Virginia,K,70.10,191,,,,,,
1997,Sam Garnes,Cincinnati,FS,75.10,225,4.78,14,30.5,102,4.38,
1997,Spencer George,Rice (TX),RB,69.00,198,4.54,22,41.5,127,4.03,
1997,Cory Gilliard,Ball State (IN),OLB,72.40,218,4.55,16,,,,
1997,Tarik Glenn,California,OT,77.30,354,5.75,20,23.0,,,
1997,Tony Gonzalez,California,TE,76.10,244,4.83,,33.5,116,4.06,
1997,Jay Graham,Tennessee,RB,71.60,215,4.46,22,36.0,117,4.05,
1997,Torrian Gray,Virginia Tech,SS,71.60,203,4.50,22,,,,
1997,Yatil Green,Miami (FL),WR,74.90,199,4.41,,40.5,130,4.17,
1997,Jay Hagood,Virginia Tech,OT,76.40,312,5.40,16,29.0,105,5.11,
1997,John Hall,Wisconsin,K,74.90,226,,,,,,
1997,James Hamilton,North Carolina,OLB,76.90,236,4.84,,35.0,125,4.43,
1997,Michael Hamilton,North Carolina A&T,OLB,73.80,243,4.72,18,32.0,112,4.82,
1997,Byron Hanspard,Texas Tech,RB,70.50,198,4.41,,,,,
1997,Patrick Hape,Alabama,TE,75.90,253,4.97,,33.0,112,4.15,
1997,Jon Harris,Virginia,DE,79.60,269,,19,35.0,114,,
1997,Kenny Harris,North Carolina State,SS,73.90,204,4.75,8,39.0,124,4.24,
1997,Marcus Harris,Wyoming,WR,73.40,213,4.68,,34.0,112,4.09,
1997,June Henley,Kansas,RB,70.90,234,,,,,,
1997,Kim Herring,Penn State,FS,71.40,199,4.60,11,32.0,116,4.11,
1997,Jon Hesse,Nebraska,ILB,75.90,249,4.94,13,35.0,112,4.64,
1997,Chris Hewitt,Cincinnati,SS,71.90,212,4.78,10,,,,
1997,Anthony Hicks,Middle Tennessee State,ILB,74.00,240,4.98,28,34.0,114,4.34,
1997,Van Hiles,Kentucky,CB,71.10,186,4.78,10,35.0,116,4.26,
1997,Ike Hilliard,Florida,WR,71.90,189,,,,,,
1997,Kenny Holmes,Miami (FL),DE,75.60,264,4.71,,33.0,,,
1997,Priest Holmes,Texas,RB,68.90,213,4.73,18,33.0,115,4.14,
1997,Ty Howard,Ohio State,CB,69.50,186,,13,,,,
1997,Jarrett Irons,Michigan,ILB,73.00,242,4.91,25,30.0,107,4.53,
1997,Hudhaifa Ismaeli,Northwestern,CB,71.00,191,4.57,,33.0,114,4.15,
1997,Waverly Jackson,Virginia Tech,DT,74.30,299,5.08,32,30.5,104,,
1997,Mitch Jacoby,Northern Illinois,TE,76.50,247,4.96,21,32.5,112,4.50,
1997,Edward Jasper,Texas A&M,DT,74.90,295,5.34,,26.0,92,4.72,
1997,Kerry Jenkins,Troy (AL),OT,77.60,296,5.39,15,24.5,102,4.92,
1997,Bryan Jennings,Virginia Tech,TE,75.80,258,4.91,18,29.5,107,4.54,
1997,Aj Johnson,Maryland,CB,69.50,170,4.69,7,31.0,108,4.03,
1997,Alonzo Johnson,Central State (OH),WR,71.10,183,4.67,,33.0,116,4.28,
1997,Leon Johnson,North Carolina,RB,71.80,209,4.68,,34.0,118,4.31,
1997,Damon Jones,Southern Illinois,TE,77.60,287,4.86,19,33.5,116,4.44,
1997,Freddie Jones,North Carolina,TE,76.60,260,,,,,,
1997,George Jones,San Diego State,RB,68.60,204,4.58,,35.0,115,4.38,
1997,Greg Jones,Colorado,OLB,76.10,241,4.82,19,38.0,129,4.19,
1997,Walter Jones,Florida State,OT,76.90,301,5.09,,30.5,108,4.73,
1997,Ndukwe Kalu,Rice (TX),DE,75.80,246,4.92,23,39.0,121,4.13,
1997,Ben Kaufman,Texas Tech,OG,76.10,289,5.60,13,23.0,99,,
1997,Rob Kelly,Ohio State,FS,74.10,199,4.62,,30.5,107,4.03,
1997,Matt Keneley,Southern California,DT,76.40,286,5.38,18,27.5,103,4.69,
1997,Joey Kent,Tennessee,WR,72.60,186,,,,,,
1997,Randy Kinder,Notre Dame,RB,72.90,207,4.46,,31.0,120,4.17,
1997,Sammy Knight,Southern California,OLB,71.80,203,4.90,,31.5,108,4.31,
1997,Tom Knight,Iowa,CB,71.30,196,4.50,19,35.5,118,4.17,
1997,Brian Knuckles,Western Illinois,RB,70.30,206,4.65,3,34.0,113,4.30,
1997,Tim Kohn,Iowa State,OT,77.30,313,5.31,25,32.0,111,4.37,
1997,Eric Kresser,Marshall (WV),QB,74.30,220,,,,,,
1997,John Krueger,Duke,P,76.90,226,,,,,,
1997,Todd Kurz,Illinois State,P,76.10,228,,,,,,
1997,Paul Lacoste,Mississippi State,OLB,73.10,227,4.74,17,32.0,116,4.30,
1997,David Lafleur,Louisiana State,TE,79.10,280,4.84,17,30.5,112,,
1997,Fred Lane,Lane College (TN),RB,69.60,209,4.75,19,31.0,116,4.18,
1997,Kenard Lang,Miami (FL),DE,76.10,277,4.83,20,33.5,112,4.59,
1997,Tony Lanier,Virginia State,WR,71.50,172,4.67,,33.5,120,4.19,
1997,Steve Lee,Indiana,FB,72.80,259,4.83,25,33.5,109,4.37,
1997,Matt Lepsis,Colorado,OT,77.10,261,,,,,,
1997,Ronald Leshinski,Army,TE,74.30,246,4.87,14,31.5,108,4.29,
1997,Chad Levitt,Cornell (NY),RB,73.10,233,4.61,19,34.5,122,4.19,
1997,Chad Lewis,Brigham Young,TE,77.40,248,4.88,15,31.0,119,4.47,
1997,Earl Little,Miami (FL),CB,71.80,183,4.62,2,31.5,113,4.49,
1997,Shea Little,Eastern Oregon,OT,78.10,292,,,,,,
1997,Kevin Lockett,Kansas State,WR,71.90,171,4.57,,36.5,121,3.93,
1997,Mike Logan,West Virginia,CB,71.80,207,,,,,,
1997,Ryan Longwell,California,P,71.60,192,,,,,,
1997,Nicholas Lopez,Texas Southern,DE,76.50,247,4.94,18,31.0,106,4.69,
1997,Harold Lusk,Utah,FS,71.40,197,4.76,12,36.0,110,4.45,
1997,Pratt Lyons,Troy (AL),DE,76.60,278,5.07,12,29.0,111,4.73,
