year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2000,kevin feterik,Brigham Young,QB,71.0,207.0,4.94,,31.0,106.0,4.45,,0
2000,aaron fields,Troy (AL),DE,75.6,243.0,4.8,22.0,34.0,115.0,4.56,,0
2000,zeron flemister,Iowa,TE,76.4,249.0,4.74,14.0,37.0,116.0,4.16,,0
2000,erik flowers,Arizona State,DE,76.3,271.0,4.78,24.0,33.0,114.0,4.15,,1
2000,derrick foster,Texas A&M-Kingsville,RB,71.4,201.0,4.45,19.0,34.5,117.0,4.36,,0
2000,larry foster,Louisiana State,WR,69.9,198.0,4.57,,37.0,121.0,4.06,,0
2000,john frank,Utah,DE,75.8,280.0,4.81,32.0,37.0,117.0,4.27,,1
2000,todd franz,Tulsa (OK),FS,73.0,199.0,4.55,14.0,,,,,1
2000,arturo freeman,South Carolina,FS,72.4,188.0,4.58,14.0,35.5,124.0,4.38,,1
2000,byron frisch,Brigham Young,DE,76.4,281.0,4.77,31.0,34.5,114.0,4.41,,1
2000,justin fuente,Murray State (KY),QB,73.4,225.0,5.24,,27.5,100.0,4.42,,0
2000,mondriel fulcher,Miami (FL),FB,75.4,253.0,4.89,18.0,27.0,116.0,4.52,,1
2000,trent gamble,Wyoming,FS,69.3,186.0,4.58,21.0,37.0,124.0,3.9,,0
2000,jason gavadza,Kent State (OH),TE,75.0,249.0,4.62,22.0,32.5,113.0,4.3,,1
2000,trevor gaylor,Miami (OH),WR,75.3,199.0,4.59,,37.5,121.0,4.29,,1
2000,kabeer gbajabiamila,San Diego State,OLB,76.0,243.0,4.65,21.0,34.0,120.0,4.28,,1
2000,sherrod gideon,Southern Mississippi,WR,71.1,173.0,4.69,,,,,,1
2000,ian gold,Michigan,OLB,73.1,221.0,4.58,21.0,33.0,115.0,4.19,,1
2000,deon grant,Tennessee,SS,73.8,209.0,4.5,15.0,,,,,1
2000,ernest grant,Arkansas-Pine Bluff,DT,77.3,316.0,5.33,24.0,29.5,98.0,5.03,,1
2000,lamar grant,Duke,CB,70.8,188.0,4.66,16.0,32.0,117.0,4.3,,0
2000,brian gray,Brigham Young,CB,73.3,214.0,4.95,19.0,33.5,116.0,4.24,,0
2000,jonathan gray,Texas Tech,OT,76.1,338.0,5.94,20.0,23.0,94.0,,,0
2000,barrett green,West Virginia,OLB,73.0,233.0,4.56,22.0,36.0,120.0,,,1
2000,mike green,Houston,FB,71.6,253.0,4.8,25.0,28.5,108.0,4.34,,1
2000,mike green,Northwestern State (LA),FS,72.1,189.0,4.56,,38.5,118.0,4.2,,1
2000,cornelius griffin,Alabama,DE,75.1,297.0,4.91,30.0,31.0,111.0,4.62,,1
2000,clark haggans,Colorado State,OLB,75.4,253.0,5.01,20.0,31.5,109.0,4.21,,1
2000,dante hall,Texas A&M,RB,67.8,191.0,4.46,18.0,38.0,123.0,3.82,,1
2000,james hall,Michigan,DE,74.1,271.0,5.04,,32.0,111.0,4.51,,0
2000,troy hambrick,Savannah State (GA),RB,72.1,237.0,4.72,21.0,34.5,118.0,4.44,,0
2000,joe hamilton,Georgia Tech,QB,70.3,192.0,4.84,,,106.0,,,1
2000,thomas hamner,Minnesota,RB,72.1,197.0,4.54,17.0,32.0,125.0,4.07,,1
2000,dandre hardeman,Texas A&M,FB,70.0,238.0,4.82,,30.0,109.0,4.36,,0
2000,antwan harris,Virginia,CB,69.1,186.0,4.37,16.0,39.0,121.0,4.01,,1
2000,jeff harris,Georgia,CB,72.4,190.0,4.55,,34.5,114.0,4.25,,1
2000,lloyd harrison,North Carolina State,CB,70.0,190.0,4.57,16.0,37.5,119.0,4.25,,1
2000,windrell hayes,Southern California,WR,71.0,204.0,4.5,,,,4.18,,1
2000,semisi heimuli,Texas A&M,OG,73.4,312.0,5.43,20.0,29.0,94.0,4.63,,0
2000,chris hovan,Boston College,DT,74.4,305.0,5.0,35.0,30.0,101.0,4.16,,1
2000,darren howard,Kansas State,DE,75.8,281.0,5.11,,29.0,108.0,4.32,,1
2000,ethan howell,Oklahoma State,CB,71.0,186.0,4.56,16.0,,,4.13,,1
2000,aaron humphrey,Texas,DE,74.9,254.0,5.13,21.0,34.0,119.0,,,0
2000,todd husak,Stanford,QB,75.1,216.0,5.22,,27.5,99.0,4.41,,1
2000,jabari issa,Washington,DT,76.9,296.0,5.14,19.0,31.5,105.0,4.72,,1
2000,al jackson,Louisiana State,OG,74.6,304.0,5.2,19.0,,,,,0
2000,darrell jackson,Florida,WR,71.8,197.0,4.58,,,,,,1
2000,jarious jackson,Notre Dame,QB,73.0,226.0,4.68,,,109.0,,,1
2000,keith jackson,Cheyney (PA),DT,76.3,319.0,5.21,28.0,,,,,0
2000,marlion jackson,Saginaw Valley State (MI),RB,73.0,242.0,4.65,24.0,35.5,125.0,4.14,,0
2000,jeno james,Auburn,OG,75.1,320.0,5.66,24.0,25.5,94.0,5.22,,1
2000,ronney jenkins,Northern Arizona,RB,70.5,184.0,4.51,18.0,,118.0,,,0
2000,brandon jennings,Texas A&M,FS,72.4,198.0,4.54,16.0,38.0,123.0,4.14,,0
2000,ryan johanningmeier,Colorado,OG,77.9,310.0,5.28,,29.0,107.0,4.66,,0
2000,doug johnson,Florida,QB,74.4,226.0,4.95,,29.5,96.0,,,0
2000,dwight johnson,Baylor,DT,76.0,285.0,5.03,26.0,28.0,105.0,4.76,,0
2000,eric johnson,Nebraska,SS,72.0,215.0,4.63,12.0,38.0,121.0,4.17,,0
2000,jerry johnson,Florida State,DT,72.5,293.0,5.09,26.0,28.5,102.0,,,1
2000,matt johnson,Brigham Young,OG,76.0,345.0,5.6,35.0,28.0,99.0,4.99,,1
2000,dhani jones,Michigan,OLB,73.1,240.0,4.69,29.0,,,,,1
2000,fred jones,Colorado,OLB,74.0,247.0,4.98,17.0,32.0,113.0,4.39,,0
2000,john jones,Indiana (PA),TE,76.3,248.0,4.64,13.0,38.5,125.0,4.43,,0
2000,leander jordan,Indiana (PA),OG,75.9,330.0,5.53,25.0,31.0,104.0,4.76,,1
2000,morgan kane,Wake Forest,RB,72.8,221.0,4.63,29.0,37.5,121.0,4.16,,0
2000,curtis keaton,James Madison (VA),RB,70.0,214.0,4.41,23.0,41.5,131.0,3.93,,1
2000,tinker keck,Cincinnati,SS,73.3,200.0,4.58,15.0,36.5,120.0,4.31,,0
2000,sean keenan,Williams College (MA),QB,75.0,202.0,5.03,,25.5,95.0,4.41,,0
2000,ben kelly,Colorado,CB,68.9,183.0,4.56,17.0,36.0,116.0,3.95,,1
2000,dan kendra,Florida State,FB,71.9,251.0,4.88,24.0,35.0,119.0,,,0
2000,kenoy kennedy,Arkansas,FS,73.0,221.0,4.71,8.0,33.5,113.0,4.38,,1
2000,sean key,Florida State,FS,70.6,188.0,4.67,,,,4.2,,0
2000,adrian klemm,Hawaii,OT,75.9,307.0,4.98,24.0,,,,,1
2000,andrew kline,San Diego State,OG,74.1,305.0,5.49,26.0,28.0,103.0,4.6,,1
2000,marcus knight,Michigan,WR,72.9,180.0,4.74,,28.5,106.0,4.38,,0
2000,noel lamontagne,Virginia,OG,76.1,299.0,5.09,21.0,,,,,0
2000,kareem larrimore,West Texas A&M,CB,71.1,190.0,4.44,,34.0,125.0,,,1
2000,leif larsen,Texas-El Paso,DT,76.5,300.0,5.12,45.0,30.0,110.0,4.37,,1
2000,charles lee,Central Florida,WR,73.5,202.0,4.6,,35.5,125.0,4.25,,1
2000,tim lester,Western Michigan,QB,72.4,202.0,5.05,,27.0,97.0,4.24,,0
2000,jamal lewis,Tennessee,RB,71.8,240.0,4.58,23.0,,,,,1
2000,al lucas,Troy (AL),DT,72.6,294.0,5.03,28.0,36.0,108.0,4.56,,0
2000,anthony lucas,Arkansas,WR,74.8,194.0,4.54,,35.0,121.0,,,1
2000,dustin lyman,Wake Forest,ILB,76.0,259.0,4.7,22.0,35.0,118.0,4.06,,1
2000,david macklin,Penn State,CB,68.6,194.0,4.56,,37.5,120.0,4.09,,1
2000,anthony malbrough,Texas Tech,CB,68.9,184.0,4.49,20.0,35.5,117.0,4.0,,1
