year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
2000,Darnell Alford,Boston College,OT,76.00,334,5.58,23,25.0,94,4.98,
2000,Kyle Allamon,Texas Tech,TE,74.50,253,5.01,,29.0,104,4.49,
2000,Rashard Anderson,Jackson State (MS),CB,74.40,206,4.59,,34.0,123,4.15,
2000,Corey Atkins,South Carolina,OLB,72.40,237,4.76,21,31.0,112,4.39,
2000,Reggie Austin,Wake Forest,CB,69.40,175,4.46,17,35.0,119,4.14,
2000,Mark Baniewicz,Syracuse,OT,77.90,312,5.36,20,28.0,96,4.73,
2000,Rashidi Barnes,Colorado,FS,71.60,208,4.63,10,35.0,114,4.32,
2000,David Barrett,Arkansas,CB,69.90,199,4.48,16,37.5,116,4.04,
2000,William Bartee,Oklahoma,CB,73.00,192,4.43,,38.5,124,3.99,
2000,Terrance Beadles,Arkansas-Pine Bluff,OG,74.90,312,5.21,29,,,,
2000,Robert Bean,Mississippi State,CB,71.00,178,4.50,,34.5,122,4.20,
2000,Anthony Becht,West Virginia,TE,77.60,270,4.78,,33.5,123,4.08,
2000,Rogers Beckett,Marshall (WV),FS,73.50,207,4.64,15,39.5,119,4.29,
2000,Brad Bedell,Colorado,OG,76.40,302,5.12,17,31.5,103,4.58,
2000,Marcus Bell,Arizona,ILB,73.60,237,4.80,21,31.5,111,4.33,
2000,Michael Boireau,Miami (FL),DE,76.10,274,5.12,26,29.0,105,4.49,
2000,Matt Bowen,Iowa,SS,73.10,201,4.51,12,33.0,115,4.09,
2000,Tom Brady,Michigan,QB,76.40,211,5.30,,24.5,99,4.38,
2000,Robert Brannon,Iowa State,DT,75.80,309,5.22,28,28.5,99,4.70,
2000,Demario Brown,Utah State,RB,72.40,217,4.74,,31.0,107,4.39,
2000,Keith Brown,UCLA,RB,71.10,216,4.68,,30.0,117,4.08,
2000,Mike Brown,Nebraska,SS,69.90,204,4.60,14,36.0,116,4.01,
2000,Ralph Brown,Nebraska,CB,69.90,204,4.60,14,36.0,116,4.01,
2000,Travis Brown,Northern Arizona,QB,75.50,218,5.03,,29.0,101,4.87,
2000,Lamont Bryant,Notre Dame,DE,75.40,260,4.92,17,,,,
2000,Marc Bulger,West Virginia,QB,73.60,208,4.96,,,100,4.34,
2000,Keith Bulluck,Syracuse,OLB,75.00,244,4.47,,38.0,119,4.13,
2000,Bill Burke,Michigan State,QB,75.90,206,5.07,,28.5,107,4.42,
2000,Plaxico Burress,Michigan State,WR,77.40,231,4.59,,33.0,115,,
2000,David Byrd,Syracuse,CB,71.40,202,4.55,14,36.0,117,4.39,
2000,Trung Canidate,Arizona,RB,70.60,193,4.46,18,,,,
2000,Cooper Carlisle,Florida,OG,77.40,297,5.20,28,31.0,100,4.48,
2000,Giovanni Carmazzi,Hofstra (NY),QB,74.60,224,4.76,,36.5,119,4.23,
2000,Leonardo Carson,Auburn,DE,73.50,283,5.06,22,28.0,106,4.75,
2000,Tyrone Carter,Minnesota,SS,67.60,190,4.53,16,41.0,121,4.19,
2000,Kwame Cavil,Texas,WR,73.60,208,4.54,,39.5,118,,
2000,Doug Chapman,Marshall (WV),RB,70.00,215,4.59,16,38.5,128,4.20,
2000,Ike Charlton,Virginia Tech,CB,71.10,205,4.47,16,,126,,
2000,Chrys Chukwuma,Arkansas,RB,73.00,232,4.56,,,115,,
2000,Joey Chustz,Louisiana Tech,OT,78.60,304,5.12,28,31.0,103,4.65,
2000,Kendrick Clancy,Mississippi,DT,72.90,283,5.28,25,27.5,108,4.65,
2000,Travis Claridge,Southern California,OG,77.10,303,5.18,29,31.5,100,4.86,
2000,Danny Clark,Illinois,ILB,74.10,245,4.77,20,,,,
2000,Chad Clifton,Tennessee,OT,77.30,334,5.12,24,30.5,102,4.73,
2000,Chris Cole,Texas A&M,WR,72.10,191,4.37,,37.5,125,4.09,
2000,Chris Coleman,North Carolina State,WR,71.80,211,4.65,,32.5,110,4.10,
2000,Cosey Coleman,Tennessee,OG,76.00,322,5.40,,28.0,101,4.97,
2000,Laveranues Coles,Florida State,WR,71.30,192,4.48,,34.0,115,4.39,
2000,Chris Combs,Duke,DT,76.80,286,5.18,22,,,,
2000,Kurth Connell,Washington,OT,76.10,291,5.54,27,33.0,103,4.84,
2000,Rameel Connor,Illinois,DE,75.30,276,5.01,25,35.5,121,4.45,
2000,Ashley Cooper,Mississippi State,SS,70.30,208,4.69,16,,117,,
2000,D.J. Cooper,Arkansas,DT,74.90,277,5.23,,28.0,108,4.49,
2000,Renard Cox,Maryland,CB,71.40,192,4.72,13,38.0,111,,
2000,Casey Crawford,Virginia,TE,77.90,244,4.83,18,,,,
2000,Sedrick Curry,Texas A&M,CB,73.50,197,4.47,,39.0,125,3.94,
2000,JoeDean Davenport,Arkansas,TE,78.90,268,5.15,13,30.0,108,4.67,
2000,Adam Davis,Oklahoma State,OG,75.90,309,5.69,,26.0,92,5.00,
2000,JaJuan Dawson,Tulane (LA),WR,73.00,199,4.55,,34.0,117,4.16,
2000,Jerry DeLoach,California,DT,74.90,314,5.01,19,31.5,101,4.57,
2000,Mike Derouselle,Houston,DT,74.40,314,5.29,27,27.5,96,4.80,
2000,Reuben Droughns,Oregon,RB,71.30,215,4.68,13,30.0,115,4.41,
2000,Ron Dugans,Florida State,WR,73.40,206,4.58,,,117,,
2000,Deon Dyer,North Carolina,FB,70.90,260,5.03,,28.0,104,4.81,
2000,Mario Edwards,Florida State,CB,72.10,191,4.46,32,32.5,120,4.55,
2000,John Engelberger,Virginia Tech,DE,76.30,260,4.74,24,34.0,115,4.28,
2000,Dwan Epps,Texas Southern,ILB,73.00,242,4.68,8,34.5,,,
2000,Kevin Feterik,Brigham Young,QB,71.00,207,4.94,,31.0,106,4.45,
2000,Aaron Fields,Troy (AL),DE,75.60,243,4.80,22,34.0,115,4.56,
2000,Zeron Flemister,Iowa,TE,76.40,249,4.74,14,37.0,116,4.16,
2000,Erik Flowers,Arizona State,DE,76.30,271,4.78,24,33.0,114,4.15,
2000,Derrick Foster,Texas A&M-Kingsville,RB,71.40,201,4.45,19,34.5,117,4.36,
2000,Larry Foster,Louisiana State,WR,69.90,198,4.57,,37.0,121,4.06,
2000,John Frank,Utah,DE,75.80,280,4.81,32,37.0,117,4.27,
2000,Todd Franz,Tulsa (OK),FS,73.00,199,4.55,14,,,,
2000,Arturo Freeman,South Carolina,FS,72.40,188,4.58,14,35.5,124,4.38,
2000,Byron Frisch,Brigham Young,DE,76.40,281,4.77,31,34.5,114,4.41,
2000,Justin Fuente,Murray State (KY),QB,73.40,225,5.24,,27.5,100,4.42,
2000,Mondriel Fulcher,Miami (FL),FB,75.40,253,4.89,18,27.0,116,4.52,
2000,Trent Gamble,Wyoming,FS,69.30,186,4.58,21,37.0,124,3.90,
2000,Jason Gavadza,Kent State (OH),TE,75.00,249,4.62,22,32.5,113,4.30,
2000,Trevor Gaylor,Miami (OH),WR,75.30,199,4.59,,37.5,121,4.29,
