player,college,position,height,weight,40yd,vertical,bench reps,broad jump,cone,shuttle
Rayuan Lane III,Navy,SAF,5-11,200,4.57,37.0,,128,7.10,4.28
Ricky White III,UNLV,WR,6-1,184,4.61,36.0,,123,,
Tyrion Ingram-Dawkins,Georgia,DT,6-5,276,4.86,36.0,,124,7.28,4.34
Ulysses Bentley IV,Mississippi,RB,5-10,201,4.62,32.5,,117,,
Jared Ivey,Mississippi,EDGE,6-6,274,,,,,,
Cam Jackson,Florida,DT,6-6,328,5.17,24.5,,93,,
Daniel Jackson,Minnesota,WR,5-11,193,,,,,6.78,4.07
Donovan Jackson,Ohio St.,G,6-4,315,,,,,,
Ja'Quinden Jackson,Arkansas,RB,6-2,229,,32.0,,119,7.19,4.36
Landon Jackson,Arkansas,EDGE,6-6,264,4.68,40.5,,129,,
Jordan James,Oregon,RB,5-10,205,4.55,,,117,,
Shemar James,Florida,LB,6-1,222,4.69,32.0,,117,7.09,4.27
Ashton Jeanty,Boise St.,RB,5-9,211,,,,,,
Kaleb Johnson,Iowa,RB,6-1,224,4.57,,,,,
Tez Johnson,Oregon,WR,5-10,154,4.51,37.0,,131,6.65,4.15
Will Johnson,Michigan,CB,6-2,194,,,,,,
Emery Jones,LSU,OT,6-5,315,,,,,,
Sai'vion Jones,LSU,EDGE,6-5,280,,33.0,19,119,,
Jah Joyner,Minnesota,EDGE,6-4,262,4.60,30.0,,,7.33,4.68
Kelvin Banks Jr.,Texas,OT,6-5,315,5.16,32.0,,104,7.81,4.66
Billy Bowman Jr.,Oklahoma,SAF,5-10,192,4.42,35.5,17,123,,
Sam Brown Jr.,Miami,WR,6-2,200,4.44,41.5,,,,
Harold Fannin Jr.,Bowling Green,TE,6-3,241,4.71,34.0,22,118,6.97,4.39
Jimmy Horn Jr.,Colorado,WR,5-8,174,4.46,38.0,,128,,4.41
Montrell Johnson Jr.,Florida,RB,5-11,212,4.41,35.5,,123,,4.29
Demetrius Knight Jr.,South Carolina,LB,6-2,235,4.58,31.5,22,118,7.12,4.25
Jason Marshall Jr.,Florida,CB,6-0,194,4.49,37.5,,125,,
Chris Paul Jr.,Mississippi,LB,6-1,222,4.63,36.0,,117,,
James Pearce Jr.,Tennessee,EDGE,6-5,245,4.47,31.0,,123,,
Shavon Revel Jr.,East Carolina,CB,6-2,194,,,,,,
Dont'e Thornton Jr.,Tennessee,WR,6-5,205,4.30,33.0,,126,,
Dante Trader Jr.,Maryland,SAF,5-11,196,,31.0,12,117,7.09,4.32
Antwane Wells Jr.,Mississippi,WR,6-1,201,4.58,34.0,,124,,
Kevin Winston Jr.,Penn St.,SAF,6-2,215,,,,,,
Quinshon Judkins,Ohio St.,RB,6-0,221,4.48,38.5,,132,,
DeAndre Jules,South Carolina,DT,6-4,316,,,,,,
Luke Kandra,Cincinnati,G,6-5,319,,,,,,
Josh Kelly,Texas Tech,WR,6-1,186,4.70,33.0,,121,7.02,
Drew Kendall,Boston Col.,C,6-4,308,5.05,,,,7.56,4.51
Kyle Kennard,South Carolina,EDGE,6-4,254,4.73,,23,,,
Corey Kiner,Cincinnati,RB,5-9,209,4.57,,19,,,
Kobe King,Penn St.,LB,6-1,236,,,,,,
Jack Kiser,Notre Dame,LB,6-2,231,,,,,,
Bilhal Kone,Western Michigan,CB,6-1,190,4.43,31.5,,124,,
Brant Kuithe,Utah,TE,6-2,236,,,,,,
Luke Lachey,Iowa,TE,6-6,251,,35.0,,120,7.18,4.47
KeAndre Lambert-Smith,Auburn,WR,6-1,190,4.37,34.5,,124,,
Joshua Lane,Virginia Tech,WR,5-10,191,4.34,40.0,14,132,6.75,4.12
Riley Leonard,Notre Dame,QB,6-4,216,,,,,,
Cody Lindenberg,Minnesota,LB,6-2,236,,,,,,
Steve Linton,Baylor,EDGE,6-4,242,,32.5,21,124,7.25,
Robert Longerbeam,Rutgers,CB,5-11,175,4.39,36.5,,134,,
Tyler Loop,Arizona,K,5-11,191,,,,,,
Colston Loveland,Michigan,TE,6-6,248,,,,,,
Dominic Lovett,Georgia,WR,5-10,185,4.40,33.5,,120,,4.27
Chase Lundt,Connecticut,OT,6-8,304,,,,,,
Phil Mafah,Clemson,RB,6-1,234,,,,,,
Jake Majors,Texas,C,6-3,306,,,,,,
Woody Marks,USC,RB,5-10,207,4.54,35.0,18,119,,4.24
Nickolas Martin,Oklahoma St.,LB,6-0,221,4.53,38.0,26,123,,
Sean Martin,West Virginia,EDGE,6-6,293,4.88,28.5,28,112,7.38,
Bam Martin-Scott,South Carolina,LB,6-2,231,4.63,33.5,,122,7.26,4.53
Damien Martinez,Miami,RB,6-0,217,4.51,35.0,,124,,
Moliki Matavao,UCLA,TE,6-6,260,4.81,32.5,,114,,
Francisco Mauigoa,Miami,LB,6-2,233,4.60,35.0,,121,7.15,4.24
Marcus Mbow,Purdue,G,6-4,303,,,,,,4.67
Kyle McCord,Syracuse,QB,6-3,218,,,,,,
Bru McCoy,Tennessee,WR,6-3,209,,,,,,
Seth McLaughlin,Ohio St.,C,6-4,304,,,,,,
Jalen McLeod,Auburn,LB,6-2,241,,,,,,
Tetairoa McMillan,Arizona,WR,6-4,219,,,,,,
Decarrion McWilliams,Central Florida,CB,5-10,191,4.41,34.0,,,,
Kain Medrano,UCLA,LB,6-3,222,4.46,38.0,,125,,
Armand Membou,Missouri,OT,6-4,332,4.91,34.0,,115,,
Graham Mertz,Florida,QB,6-3,212,,,,,,
R.J. Mickens,Clemson,SAF,6-0,199,4.49,41.5,,121,,
Rylie Mills,Notre Dame,DT,6-5,291,,,,,,
Jalen Milroe,Alabama,QB,6-2,217,,,,,,
Wyatt Milum,West Virginia,OT,6-7,313,5.27,30.0,,108,,4.69
Kyle Monangai,Rutgers,RB,5-8,211,4.60,34.5,,117,,
Smael Mondon,Georgia,LB,6-2,224,4.58,,,130,,
Jonah Monheim,USC,C,6-4,302,,,,,,
Malachi Moore,Alabama,SAF,5-11,196,,,,,,
Benjamin Morrison,Notre Dame,CB,6-0,193,,,,,,
Jabbar Muhammad,Oregon,CB,5-9,182,,29.5,13,,7.01,4.19
Andrew Mukuba,Texas,SAF,5-11,186,4.45,,,,,
Kalel Mullings,Michigan,RB,6-2,226,,,,,,
Konata Mumpfield,Pittsburgh,WR,5-11,186,4.59,36.0,,124,,
Nick Nash,San Jose St.,WR,6-3,203,4.57,34.0,,123,,
Devin Neal,Kansas,RB,5-11,213,4.58,37.5,,124,,
Jack Nelson,Wisconsin,OT,6-7,314,,,,,,
Bryson Nesbit,North Carolina,TE,6-5,238,4.88,32.5,,112,,
Isaiah Neyor,Nebraska,WR,6-4,218,4.40,38.0,,133,,
Jaylin Noel,Iowa St.,WR,5-10,194,4.39,41.5,23,134,6.82,4.17
Walter Nolen,Mississippi,DT,6-4,296,,,,,,
Omarr Norman-Lott,Tennessee,DT,6-2,291,,31.5,,113,,
Oluwafemi Oladejo,UCLA,EDGE,6-3,259,,36.5,20,120,,
Collin Oliver,Oklahoma St.,EDGE,6-2,240,4.56,39.0,,126,,
Robbie Ouzts,Alabama,TE,6-3,274,4.91,34.0,26,119,7.34,4.45
Payton Page,Clemson,DT,6-3,290,,33.0,,116,,
Jacob Parrish,Kansas St.,CB,5-10,191,4.35,37.5,12,129,,
Aeneas Peebles,Virginia Tech,DT,6-1,282,4.94,32.5,,109,,4.70
JJ Pegues,Mississippi,DT,6-3,309,5.15,27.5,,,,
Jordan Phillips,Maryland,DT,6-2,312,,31.0,29,108,8.19,4.65
Hollin Pierce,Rutgers,OT,6-8,341,,,,,,
